what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.eclipsemonkey.ui,1.2.7.024747,org.eclipse.eclipsemonkey.ui,1269573995990
stopped,bundle,com.aptana.ide.editor.js,1.2.7.024747,com.aptana.ide.editor.js,1269573995990
stopped,bundle,com.aptana.ide.editor.text,1.2.7.024747,com.aptana.ide.editor.text,1269573995990
stopped,bundle,com.aptana.ide.samples,1.2.7.024747,com.aptana.ide.samples,1269573995990
stopped,bundle,com.aptana.ide.search,1.2.7.024747,com.aptana.ide.search,1269573995990
stopped,bundle,com.aptana.ide.search.epl,1.2.7.024747,com.aptana.ide.search.epl,1269573995990
stopped,bundle,com.aptana.ide.io.file,1.2.7.024747,com.aptana.ide.io.file,1269573995990
stopped,bundle,com.aptana.ide.editors.codeassist,1.2.7.024747,com.aptana.ide.editors.codeassist,1269573995990
stopped,bundle,com.aptana.ide.extras,1.2.7.024747,com.aptana.ide.extras,1269573995990
stopped,bundle,com.aptana.ide.intro,1.2.7.024747,com.aptana.ide.intro,1269573995991
stopped,bundle,com.aptana.ide.server.portal,1.2.7.024747,com.aptana.ide.server.portal,1269573995991
stopped,bundle,com.aptana.ide.update,1.2.7.024747,com.aptana.ide.update,1269573995991
stopped,bundle,com.aptana.ide.server.jetty,1.2.7.024747,com.aptana.ide.server.jetty,1269573995991
stopped,bundle,com.aptana.ide.server.ui,1.2.7.024747,com.aptana.ide.server.ui,1269573995991
stopped,bundle,com.aptana.ide.logging,1.2.7.024747,com.aptana.ide.logging,1269573995991
stopped,bundle,com.aptana.ide.snippets,1.2.7.024747,com.aptana.ide.snippets,1269573995991
stopped,bundle,com.aptana.ide.editors,1.2.7.024747,com.aptana.ide.editors,1269573995991
stopped,bundle,com.aptana.ide.internet.proxy,1.2.7.024747,com.aptana.ide.internet.proxy,1269573995991
stopped,bundle,com.aptana.ide.professional.licensing,1.2.7.024688_200905101214,com.aptana.ide.professional.licensing,1269573995991
stopped,bundle,org.eclipse.eclipsemonkey.doms,1.2.7.024747,org.eclipse.eclipsemonkey.doms,1269573995991
stopped,bundle,org.eclipse.eclipsemonkey,1.2.7.024747,org.eclipse.eclipsemonkey,1269573995991
stopped,bundle,com.aptana.ide.core.ui,1.2.7.024747,com.aptana.ide.core.ui,1269573995991
stopped,bundle,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search,1269573995996
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1269573995996
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1269573995997
